copy_to_clipboard 2Theta I_sum I_diff

  2Theta     I_plus   sI_plus    I_minus  sI_minus      I_sum     I_diff
   18.92  231.55530  22.81614  225.08770  22.53700  456.64300    6.46760
   18.97  231.28021  22.76600  228.88530  22.67000  460.16551    2.39491
   19.02  229.42048  23.11755  230.79380  23.18800  460.21428   -1.37332
   19.07  230.13443  22.35096  236.62310  22.63900  466.75753   -6.48867
   19.12  230.00544  23.25252  232.73140  23.38400  462.73684   -2.72596
   19.17  236.02720  22.84040  232.71550  22.70500  468.74270    3.31170
   19.22  236.49136  23.27959  235.72780  23.25500  472.21916    0.76356
   19.27  232.03847  22.74046  234.37150  22.85200  466.40997   -2.33303
   19.32  238.30059  23.86173  232.31460  23.60100  470.61519    5.98599
   19.37  234.80213  22.47321  230.59760  22.30100  465.39973    4.20453
   19.42  230.47162  23.34026  235.83860  23.59000  466.31022   -5.36698
   19.47  231.10258  22.73167  236.51820  22.97700  467.62078   -5.41562
   19.52  235.86174  23.21276  237.92460  23.31200  473.78634   -2.06286
   19.57  238.37427  23.07683  239.71050  23.14300  478.08477   -1.33623
   19.62  232.51736  24.95683  239.46550  25.29700  471.98286   -6.94814
   19.67  231.54654  23.09096  235.16610  23.26100  466.71264   -3.61956
   19.72  236.44667  22.97554  231.63730  22.77400  468.08397    4.80937
   19.77  237.12644  23.49997  233.23880  23.33600  470.36524    3.88764
   19.82  235.05313  22.72594  238.64670  22.88900  473.69983   -3.59357
   19.87  230.82547  23.15748  234.24220  23.31900  465.06767   -3.41673
   19.92  232.15213  22.47735  237.37830  22.71100  469.53043   -5.22617
   19.97  231.71761  23.01486  233.53040  23.10400  465.24801   -1.81279
   20.02  235.99256  22.83303  237.79580  22.92000  473.78836   -1.80324
   20.07  232.29919  23.18056  230.81230  23.12400  463.11149    1.48689
   20.12  229.66208  22.41565  232.46170  22.54700  462.12378   -2.79962
   20.17  236.52968  23.58788  230.20710  23.31300  466.73678    6.32258
   20.22  234.61554  22.65813  229.24900  22.43400  463.86454    5.36654
   20.27  232.71835  23.13219  229.39590  22.99200  462.11425    3.32245
   20.32  233.02041  23.10265  233.78590  23.14500  466.80631   -0.76549
   20.37  229.67239  22.95396  227.19960  22.85200  456.87199    2.47279
   20.42  229.18897  22.43460  227.02040  22.34800  456.20937    2.16857
   20.47  226.94317  22.86853  225.12110  22.79500  452.06427    1.82207
   20.52  225.75470  22.33893  230.12150  22.54000  455.87620   -4.36680
   20.57  229.11264  23.23014  228.08820  23.19200  457.20084    1.02444
   20.62  228.39083  22.57101  228.08290  22.56600  456.47373    0.30793
   20.67  228.16060  22.99275  229.47510  23.06100  457.63570   -1.31450
   20.72  226.22567  22.56440  225.96120  22.56100  452.18687    0.26447
   20.77  223.78010  22.73275  228.40960  22.95000  452.18970   -4.62950
   20.82  229.52154  22.60147  225.61070  22.43700  455.13224    3.91084
   20.87  220.68043  22.69266  227.44870  23.00900  448.12913   -6.76827
   20.92  228.39641  22.75263  227.44990  22.71900  455.84631    0.94651
   20.97  228.06203  22.85080  228.58900  22.88200  456.65103   -0.52697
   21.02  225.31089  22.87116  226.32870  22.92500  451.63959   -1.01781
   21.07  226.80845  23.17696  224.38880  23.07400  451.19725    2.41965
   21.12  225.95418  22.47575  225.73350  22.47500  451.68768    0.22068
   21.17  229.94402  22.87801  223.50590  22.59800  453.44992    6.43812
   21.22  223.97536  22.73729  226.17000  22.84500  450.14536   -2.19464
   21.27  223.26786  22.92495  229.23650  23.20600  452.50436   -5.96864
   21.32  226.71432  22.68890  230.32560  22.85900  457.03992   -3.61128
   21.37  224.21213  22.96666  224.68820  22.99600  448.90033   -0.47607
   21.42  225.24878  22.68780  222.31920  22.56400  447.56798    2.92958
   21.47  228.46204  22.87351  226.25720  22.78300  454.71924    2.20484
   21.52  224.88993  23.03838  223.64960  22.99000  448.53953    1.24033
   21.57  227.60622  22.53271  226.38840  22.48700  453.99462    1.21782
   21.62  223.59759  22.56997  224.32230  22.61100  447.91989   -0.72471
   21.67  222.63771  22.62097  228.23720  22.88200  450.87491   -5.59949
   21.72  226.66378  22.89461  225.44200  22.84700  452.10578    1.22178
   21.77  223.89263  22.70327  227.23060  22.86300  451.12323   -3.33797
   21.82  223.17254  22.77346  223.47890  22.79600  446.65144   -0.30636
   21.87  224.36677  22.52935  224.68440  22.55200  449.05117   -0.31763
   21.92  222.43337  22.49230  224.96930  22.61500  447.40267   -2.53593
   21.97  223.40810  22.60824  224.91670  22.68600  448.32480   -1.50860
   22.02  221.18161  22.64208  223.30470  22.74800  444.48631   -2.12309
   22.07  224.70890  22.21255  224.41290  22.20800  449.12180    0.29600
   22.12  225.58647  23.14465  224.41120  23.10000  449.99767    1.17527
   22.17  226.15659  22.53849  226.88100  22.58000  453.03759   -0.72441
   22.22  228.01084  22.70327  225.18540  22.58600  453.19624    2.82544
   22.27  227.64475  23.00060  225.03810  22.89100  452.68285    2.60665
   22.32  221.43928  22.33371  225.87260  22.54100  447.31188   -4.43332
   22.37  226.69669  22.81274  226.02890  22.79100  452.72559    0.66779
   22.42  220.39000  22.56168  224.36590  22.75100  444.75590   -3.97590
   22.47  223.70724  22.21307  222.44000  22.16500  446.14724    1.26724
