  2Theta(x)          dd      Delete          del         dd        I_sum(y)    I_diff(y2)
   16.32000  24175.34043  239.15482  24136.06000  239.07000  48311.40043     39.28043
   16.37000  23871.02771  236.05357  23568.44000  234.81000  47439.46771    302.58771
   16.42000  23924.49683  248.34144  24212.52000  249.76000  48137.01683   -288.02317
   16.47000  24143.26644  233.57527  24292.45000  234.30000  48435.71644   -149.18356
   16.52000  24063.38624  225.32426  23936.81000  224.87000  48000.19624    126.57624
   16.57000  24099.93270  231.47770  24378.01000  232.76000  48477.94270   -278.07730
   16.62000  24115.11376  234.99054  23976.42000  234.48000  48091.53376    138.69376
   16.67000  24565.00603  240.88160  24317.01000  239.88000  48882.01603    247.99603
   16.72000  23927.86661  231.54065  24192.68000  232.77000  48120.54661   -264.81339
   16.77000  24058.50400  233.26242  24327.30000  234.51000  48385.80400   -268.79600
   16.82000  24746.79075  235.68290  24539.51000  234.89000  49286.30075    207.28075
   16.87000  24425.13048  237.42345  24294.35000  236.95000  48719.48048    130.78048
   16.92000  24124.52184  230.59934  24991.99000  234.36000  49116.51184   -867.46816
   16.97000  24489.06106  236.95457  24299.21000  236.22000  48788.27106    189.85106
   17.02000  24132.64150  233.61357  23965.84000  232.98000  48098.48150    166.80150
   17.07000  23995.20253  232.22549  23587.09000  230.54000  47582.29253    408.11253
   17.12000  24058.74443  230.48002  23511.68000  228.21000  47570.42443    547.06443
   17.17000  23768.06309  230.73629  23677.10000  230.43000  47445.16309     90.96309
   17.22000  23798.15056  233.55350  23288.65000  231.40000  47086.80056    509.50056
   17.27000  23160.37531  231.37580  23680.59000  233.78000  46840.96531   -520.21469
   17.32000  23643.61482  215.39782  22852.31000  212.23000  46495.92482    791.30482
   17.37000  23258.67979  224.02586  23193.46000  223.83000  46452.13979     65.21979
   17.42000  23244.55624  238.81175  23451.94000  239.85000  46696.49624   -207.38376
   17.47000  23839.14685  245.91195  23028.35000  242.23000  46867.49685    810.79685
   17.52000  23326.33972  233.09345  23358.31000  233.32000  46684.64972    -31.97028
   17.57000  23539.05009  220.82663  23129.26000  219.18000  46668.31009    409.79009
   17.62000  23247.03252  229.23604  23184.37000  229.04000  46431.40252     62.66252
   17.67000  23059.58417  224.58842  23001.64000  224.43000  46061.22417     57.94417
   17.72000  23615.99989  228.18652  22969.17000  225.47000  46585.16989    646.82989
   17.77000  23296.98770  230.44551  23026.38000  229.33000  46323.36770    270.60770
   17.82000  23103.40751  228.86071  23232.48000  229.52000  46335.88751   -129.07249
   17.87000  23304.00815  227.31970  23359.60000  227.65000  46663.60815    -55.59185
   17.92000  23001.57336  229.18866  23167.32000  230.02000  46168.89336   -165.74664
   17.97000  23446.46807  227.36253  23260.24000  226.65000  46706.70807    186.22807
   18.02000  23271.73430  227.99319  23099.98000  227.33000  46371.71430    171.75430
   18.07000  23726.14694  228.01876  23624.62000  227.66000  47350.76694    101.52694
   18.12000  22974.48944  230.91136  23607.54000  233.82000  46582.02944   -633.05056
   18.17000  23503.68722  225.19581  23338.05000  224.57000  46841.73722    165.63722
   18.22000  23066.32310  230.89115  23216.43000  231.65000  46282.75310   -150.10690
   18.27000  23310.69106  226.18696  22913.88000  224.55000  46224.57106    396.81106
   18.32000  22811.02830  225.04531  23029.81000  226.09000  45840.83830   -218.78170
   18.37000  22859.58875  229.29933  23233.63000  231.05000  46093.21875   -374.04125
   18.42000  23481.40253  228.68603  22986.20000  226.61000  46467.60253    495.20253
   18.47000  22850.41257  223.52596  23073.82000  224.59000  45924.23257   -223.40743
   18.52000  23003.80422  234.01713  22893.31000  233.60000  45897.11422    110.49422
   18.57000  22725.21097  221.27922  23139.33000  223.16000  45864.54097   -414.11903
   18.62000  22935.37286  227.55340  22848.80000  227.26000  45784.17286     86.57286
   18.67000  22771.37098  223.40154  23118.67000  225.00000  45890.04098   -347.29902
   18.72000  22955.69331  228.83213  22944.40000  228.87000  45900.09331     11.29331
   18.77000  23041.59008  225.61570  23229.34000  226.52000  46270.93008   -187.74992
   18.82000  22884.04146  228.75937  23132.35000  229.95000  46016.39146   -248.30854
   18.87000  22706.64168  223.51122  23156.01000  225.56000  45862.65168   -449.36832
   18.92000  23155.53030  228.16141  22508.77000  225.37000  45664.30030    646.76030
   18.97000  23128.02054  227.66003  22888.53000  226.70000  46016.55054    239.49054
   19.02000  22942.04846  231.17554  23079.38000  231.88000  46021.42846   -137.33154
   19.07000  23013.44307  223.50958  23662.31000  226.39000  46675.75307   -648.86693
   19.12000  23000.54374  232.52522  23273.14000  233.84000  46273.68374   -272.59626
   19.17000  23602.71977  228.40404  23271.55000  227.05000  46874.26977    331.16977
   19.22000  23649.13577  232.79589  23572.78000  232.55000  47221.91577     76.35577
   19.27000  23203.84687  227.40456  23437.15000  228.52000  46640.99687   -233.30313
   19.32000  23830.05887  238.61727  23231.46000  236.01000  47061.51887    598.59887
   19.37000  23480.21328  224.73207  23059.76000  223.01000  46539.97328    420.45328
   19.42000  23047.16160  233.40256  23583.86000  235.90000  46631.02160   -536.69840
   19.47000  23110.25808  227.31671  23651.82000  229.77000  46762.07808   -541.56192
   19.52000  23586.17360  232.12758  23792.46000  233.12000  47378.63360   -206.28640
   19.57000  23837.42716  230.76832  23971.05000  231.43000  47808.47716   -133.62284
   19.62000  23251.73574  249.56828  23946.55000  252.97000  47198.28574   -694.81426
   19.67000  23154.65365  230.90959  23516.61000  232.61000  46671.26365   -361.95635
   19.72000  23644.66682  229.75543  23163.73000  227.74000  46808.39682    480.93682
   19.77000  23712.64370  234.99975  23323.88000  233.36000  47036.52370    388.76370
   19.82000  23505.31301  227.25936  23864.67000  228.89000  47369.98301   -359.35699
   19.87000  23082.54718  231.57480  23424.22000  233.19000  46506.76718   -341.67282
   19.92000  23215.21277  224.77349  23737.83000  227.11000  46953.04277   -522.61723
   19.97000  23171.76061  230.14864  23353.04000  231.04000  46524.80061   -181.27939
   20.02000  23599.25551  228.33030  23779.58000  229.20000  47378.83551   -180.32449
   20.07000  23229.91935  231.80555  23081.23000  231.24000  46311.14935    148.68935
   20.12000  22966.20804  224.15646  23246.17000  225.47000  46212.37804   -279.96196
   20.17000  23652.96802  235.87875  23020.71000  233.13000  46673.67802    632.25802
   20.22000  23461.55389  226.58126  22924.90000  224.34000  46386.45389    536.65389
   20.27000  23271.83539  231.32194  22939.59000  229.92000  46211.42539    332.24539
   20.32000  23302.04052  231.02647  23378.59000  231.45000  46680.63052    -76.54948
   20.37000  22967.23926  229.53959  22719.96000  228.52000  45687.19926    247.27926
   20.42000  22918.89651  224.34596  22702.04000  223.48000  45620.93651    216.85651
   20.47000  22694.31711  228.68527  22512.11000  227.95000  45206.42711    182.20711
   20.52000  22575.46972  223.38933  23012.15000  225.40000  45587.61972   -436.68028
   20.57000  22911.26372  232.30141  22808.82000  231.92000  45720.08372    102.44372
   20.62000  22839.08297  225.71014  22808.29000  225.66000  45647.37297     30.79297
   20.67000  22816.06029  229.92747  22947.51000  230.61000  45763.57029   -131.44971
   20.72000  22622.56725  225.64404  22596.12000  225.61000  45218.68725     26.44725
   20.77000  22378.01029  227.32750  22840.96000  229.50000  45218.97029   -462.94971
   20.82000  22952.15400  226.01466  22561.07000  224.37000  45513.22400    391.08400
   20.87000  22068.04308  226.92664  22744.87000  230.09000  44812.91308   -676.82692
   20.92000  22839.64102  227.52628  22744.99000  227.19000  45584.63102     94.65102
   20.97000  22806.20308  228.50804  22858.90000  228.82000  45665.10308    -52.69692
   21.02000  22531.08928  228.71159  22632.87000  229.25000  45163.95928   -101.78072
   21.07000  22680.84534  231.76961  22438.88000  230.74000  45119.72534    241.96534
   21.12000  22595.41826  224.75749  22573.35000  224.75000  45168.76826     22.06826
   21.17000  22994.40221  228.78013  22350.59000  225.98000  45344.99221    643.81221
   21.22000  22397.53624  227.37290  22617.00000  228.45000  45014.53624   -219.46376
   21.27000  22326.78584  229.24946  22923.65000  232.06000  45250.43584   -596.86416
   21.32000  22671.43210  226.88896  23032.56000  228.59000  45703.99210   -361.12790
   21.37000  22421.21345  229.66660  22468.82000  229.96000  44890.03345    -47.60655
   21.42000  22524.87797  226.87796  22231.92000  225.64000  44756.79797    292.95797
   21.47000  22846.20385  228.73511  22625.72000  227.83000  45471.92385    220.48385
   21.52000  22488.99262  230.38377  22364.96000  229.90000  44853.95262    124.03262
   21.57000  22760.62243  225.32715  22638.84000  224.87000  45399.46243    121.78243
   21.62000  22359.75911  225.69966  22432.23000  226.11000  44791.98911    -72.47089
   21.67000  22263.77101  226.20965  22823.72000  228.82000  45087.49101   -559.94899
   21.72000  22666.37804  228.94612  22544.20000  228.47000  45210.57804    122.17804
   21.77000  22389.26296  227.03266  22723.06000  228.63000  45112.32296   -333.79704
   21.82000  22317.25427  227.73458  22347.89000  227.96000  44665.14427    -30.63573
   21.87000  22436.67651  225.29348  22468.44000  225.52000  44905.11651    -31.76349
   21.92000  22243.33713  224.92297  22496.93000  226.15000  44740.26713   -253.59287
   21.97000  22340.81031  226.08243  22491.67000  226.86000  44832.48031   -150.85969
   22.02000  22118.16090  226.42079  22330.47000  227.48000  44448.63090   -212.30910
   22.07000  22470.88996  222.12551  22441.29000  222.08000  44912.17996     29.59996
   22.12000  22558.64666  231.44649  22441.12000  231.00000  44999.76666    117.52666
   22.17000  22615.65888  225.38486  22688.10000  225.80000  45303.75888    -72.44112
   22.22000  22801.08379  227.03269  22518.54000  225.86000  45319.62379    282.54379
   22.27000  22764.47461  230.00604  22503.81000  228.91000  45268.28461    260.66461
   22.32000  22143.92834  223.33713  22587.26000  225.41000  44731.18834   -443.33166
   22.37000  22669.66870  228.12743  22602.89000  227.91000  45272.55870     66.77870
   22.42000  22038.99962  225.61681  22436.59000  227.51000  44475.58962   -397.59038
   22.47000  22370.72394  222.13075  22244.00000  221.65000  44614.72394    126.72394
   22.52000  21922.82743  225.88043  22475.73000  228.50000  44398.55743   -552.90257
   22.57000  22776.90964  228.73046  22397.91000  227.11000  45174.81964    378.99964
   22.62000  22405.95555  228.28116  22728.43000  229.84000  45134.38555   -322.47445
   22.67000  22305.58491  224.87160  22340.40000  225.12000  44645.98491    -34.81509
   22.72000  22376.49415  228.79884  22513.23000  229.51000  44889.72415   -136.73585
   22.77000  22028.54772  229.82100  22858.23000  233.73000  44886.77772   -829.68228
   22.82000  21669.29032  235.01500  21883.84000  236.14000  43553.13032   -214.54968
   22.87000  22819.49546  227.43808  22832.77000  227.59000  45652.26546    -13.27454
   22.92000  22591.87367  226.26874  22886.59000  227.67000  45478.46367   -294.71633
   22.97000  23193.15454  228.85274  22489.46000  225.81000  45682.61454    703.69454
   23.02000  22783.49416  231.04277  22656.92000  230.56000  45440.41416    126.57416
   23.07000  22363.54240  232.00619  23239.29000  236.12000  45602.83240   -875.74760
   23.12000  22941.66139  223.64264  22584.04000  222.17000  45525.70139    357.62139
   23.17000  23260.89229  233.46840  22607.46000  230.60000  45868.35229    653.43229
   23.22000  23265.35154  202.80701  22776.39000  200.97000  46041.74154    488.96154
   23.27000  23053.35788  215.67411  23062.23000  215.80000  46115.58788     -8.87212
   23.32000  22602.39344  300.71456  22981.91000  303.08000  45584.30344   -379.51656
   23.37000  23823.45130  315.49034  24229.67000  318.00000  48053.12130   -406.21870
   23.42000  22698.16041  213.43362  22969.59000  214.65000  45667.75041   -271.42959
   23.47000  23079.81859  202.82025  23043.70000  202.76000  46123.51859     36.11859
   23.52000  23059.94942  225.73045  23106.01000  226.02000  46165.95942    -46.06058
   23.57000  23258.04060  224.29972  23042.15000  223.45000  46300.19060    215.89060
   23.62000  22894.68362  231.84640  22819.65000  231.59000  45714.33362     75.03362
   23.67000  23201.14159  233.39704  22701.14000  231.23000  45902.28159    500.00159
   23.72000  23392.43696  222.64022  23472.13000  223.06000  46864.56696    -79.69304
