group_hkl orto

  28078   1   2  0      99.91        0.50  28.42   -75.61    0.40   0.00    8.14A
  28079   0   4  0    1215.71        2.39  57.81   -73.41    0.76   0.00    8.14A
  28080   1   2  1     197.03        0.69  29.14   -72.59  -17.58   0.00    8.14A
  28081   0   4  1     272.67        1.12  60.01   -70.53  -17.20   0.00    8.14A
  28082   1   3  0     528.49        1.48  42.16   -70.15    0.59   0.00    8.14A
  28083   1   1  0     169.95        0.51  17.67   -67.79    0.21   0.00    8.14A
  28084   1   3  1     360.34        1.23  43.38   -67.63  -17.38   0.00    8.14A
  28085   1   1  1      32.38        0.22  18.04   -63.36  -17.78   0.00    8.15A
  28086   1   4  0     611.37        1.70  60.93   -55.88    0.78   0.00    8.16A
  28087   1   4  1      96.34        0.67  63.40   -52.84  -17.18   0.00    8.16A
  28088   2   2  0     835.57        1.72  37.39   -48.08    0.42   0.00    8.16A
  28089   2   3  0      54.94        0.56  50.35   -46.47    0.61   0.00    8.16A
  28090   2   2  1     116.54        0.66  38.39   -45.47  -17.56   0.00    8.16A
  28091   2   3  1     177.63        0.92  51.96   -43.91  -17.36   0.00    8.17A
  28092   2   1  0     216.79        0.73  28.94   -38.27    0.23   0.00    8.17A
  28093   2   1  1     308.55        0.86  29.64   -35.25  -17.75   0.00    8.17A
  28094   1   0  0       4.54        0.09  12.56   -28.73    0.02   0.00    8.17A
  28095   3   2  0     177.32        0.95  51.09   -23.14    0.44   0.00    8.17A
  28096   1   0  1     223.16        0.48  12.73   -22.40  -17.97   0.00    8.17A
  28097   3   2  1     105.45        0.72  52.74   -20.54  -17.53   0.00    8.17A
  28098   3   3  0      30.42        0.42  65.62   -19.84    0.63   0.00    8.17A
  28099   3   3  1     123.29        0.70  68.68   -16.35  -17.34   0.00    8.17A
  28100   3   1  0     105.78        0.70  43.33   -15.92    0.25   0.00    8.18A
  28101   2   0  0     374.55        0.90  25.79   -15.51    0.04   0.00    8.17A
  28102   3   1  1     119.35        0.74  44.57   -13.35  -17.74   0.00    8.17A
  28103   2   0  1       1.47        0.26  26.37   -12.13  -17.96   0.00    8.17A
  28104   3   0  0       3.64        0.17  40.73    -0.56    0.06   0.00    8.17A
  28105   3   0  1     240.13        0.98  41.86     2.10  -17.93   0.00    8.17A
  28106   4   1  0     331.98        1.23  63.59     8.63    0.27   0.00    8.15A
  28107   4   1  1     152.92        0.80  66.39    11.99  -17.71   0.00    8.14A
  28108   2  -1  0     229.42        0.75  28.91    13.57   -0.15   0.00    8.14A
  28109   2  -1  1     329.21        0.88  29.60    16.82  -18.15   0.00    8.14A
  28110   4   0  0     704.96        1.84  60.46    19.16    0.08   0.00    8.14A
  28111   3  -1  0     112.26        0.72  43.29    19.97   -0.13   0.00    8.12A
  28112   1  -1  0     189.63        0.54  17.65    20.60   -0.17   0.00    8.12A
  28113   4   0  1       1.16        0.14  62.92    22.31  -17.91   0.00    8.11A
  28114   3  -1  1     126.73        0.75  44.55    22.69  -18.13   0.00    8.13A
  28115   1  -1  1      35.59        0.23  17.98    25.51  -18.17   0.00    8.12A
  28116   4  -1  0     362.92        1.28  63.52    35.89   -0.11   0.00    8.10A
  28117   4  -1  1     174.03        0.84  66.42    39.41  -18.11   0.00    8.10A
  28118   2  -2  0    1010.64        1.89  37.33    40.28   -0.34   0.00    8.09A
  28119   3  -2  0     211.93        1.04  51.01    42.70   -0.32   0.00    8.08A
  28120   2  -2  1     134.23        0.70  38.36    43.23  -18.35   0.00    8.08A
  28121   3  -2  1     119.19        0.76  52.75    45.58  -18.33   0.00    8.09A
  28122   1  -2  0      93.25        0.48  28.39    49.95   -0.36   0.00    8.09A
  28123   1  -2  1     182.56        0.65  29.10    53.44  -18.38   0.00    8.07A
  28124   0  -1  0       1.96        0.06  12.21    60.99   -0.19   0.00    8.04A
  28125   2  -3  0      49.16        0.54  50.26    64.59   -0.53   0.00    8.02A
  28126   2  -3  1     162.37        0.88  52.01    67.58  -18.55   0.00    8.00A
  28127   0  -1  1     140.52        0.38  12.41    68.14  -18.19   0.00    8.00A
  28128   3  -3  0      25.84        0.40  65.46    68.41   -0.51   0.00    8.00A
  28129   1  -3  0     451.59        1.38  42.12    71.97   -0.55   0.00    8.00A
  28130   3  -3  1     104.77        0.64  68.83    72.40  -18.53   0.00    8.00A
